freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.897e+02,6.671e+00,8.187e+00,2.046e+02
1.5,1.147e+02,2.333e+01,4.129e+01,1.793e+02
3.0,2.854e+01,2.715e+01,4.725e+01,1.029e+02
4.5,3.419e+02,2.914e+01,5.097e+01,4.220e+02
6.1,1.340e+03,3.832e+01,4.989e+01,1.428e+03
7.6,2.273e+03,4.958e+01,4.776e+01,2.371e+03
9.1,3.138e+03,6.267e+01,4.996e+01,3.251e+03
10.6,4.393e+03,7.744e+01,4.894e+01,4.520e+03
12.1,5.904e+03,9.280e+01,5.564e+01,6.052e+03
13.6,7.695e+03,9.333e+01,5.285e+01,7.842e+03
15.2,9.946e+03,1.277e+02,5.031e+01,1.012e+04
16.7,1.313e+04,1.754e+02,5.125e+01,1.336e+04
18.2,1.672e+04,2.092e+02,5.142e+01,1.698e+04
19.7,1.890e+04,1.692e+02,5.287e+01,1.912e+04
21.2,2.297e+04,1.766e+02,5.270e+01,2.320e+04
22.7,3.006e+04,2.198e+02,6.506e+01,3.035e+04
24.3,3.744e+04,2.638e+02,7.038e+01,3.778e+04
25.8,4.568e+04,2.865e+02,9.253e+01,4.606e+04
27.3,5.807e+04,3.071e+02,1.580e+02,5.854e+04
28.8,6.748e+04,5.854e+02,7.868e+02,6.885e+04
30.3,6.144e+04,9.693e+02,2.452e+03,6.486e+04
31.8,6.004e+04,1.336e+03,3.249e+03,6.462e+04
33.4,7.883e+04,1.928e+03,2.786e+03,8.354e+04
34.9,1.006e+05,1.927e+03,2.258e+03,1.047e+05
36.4,1.155e+05,1.821e+03,1.860e+03,1.192e+05
37.9,1.046e+05,1.435e+03,1.350e+03,1.074e+05
39.4,1.133e+05,1.256e+03,8.217e+02,1.153e+05
40.9,1.043e+05,1.064e+03,9.160e+02,1.063e+05
42.4,8.844e+04,8.492e+02,9.848e+02,9.028e+04
44.0,1.146e+05,9.784e+02,8.092e+02,1.164e+05
45.5,1.659e+05,1.247e+03,1.013e+03,1.681e+05
47.0,2.160e+05,1.414e+03,1.687e+03,2.191e+05
48.5,2.676e+05,1.354e+03,2.326e+03,2.713e+05
50.0,3.273e+05,1.278e+03,3.233e+03,3.318e+05
51.5,3.133e+05,8.199e+02,3.441e+03,3.175e+05
53.1,2.008e+05,3.283e+02,2.678e+03,2.038e+05
54.6,1.100e+05,1.330e+02,1.847e+03,1.119e+05
56.1,6.526e+04,9.953e+01,1.219e+03,6.658e+04
57.6,2.462e+04,1.006e+02,4.966e+02,2.522e+04
59.1,7.673e+03,2.288e+02,2.350e+02,8.137e+03
60.6,6.512e+03,7.842e+02,4.421e+02,7.738e+03
62.2,1.805e+04,1.894e+03,6.540e+02,2.060e+04
63.7,7.781e+04,4.312e+03,5.790e+02,8.270e+04
65.2,1.790e+05,8.607e+03,4.798e+02,1.881e+05
66.7,2.143e+05,1.173e+04,7.478e+02,2.268e+05
68.2,2.040e+05,1.359e+04,1.690e+03,2.193e+05
69.7,1.974e+05,1.167e+04,3.039e+03,2.121e+05
71.2,1.834e+05,5.219e+03,3.317e+03,1.919e+05
72.8,1.648e+05,1.477e+03,2.553e+03,1.689e+05
74.3,1.490e+05,4.356e+02,1.871e+03,1.513e+05
75.8,1.218e+05,1.565e+02,1.323e+03,1.233e+05
77.3,9.967e+04,6.573e+01,9.743e+02,1.007e+05
78.8,7.960e+04,7.022e+01,7.163e+02,8.038e+04
80.3,6.235e+04,1.167e+02,4.944e+02,6.296e+04
81.9,5.617e+04,1.800e+02,3.821e+02,5.673e+04
