freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.878e+00,2.059e+02,1.262e+02,3.390e+02
1.5,1.616e+01,1.285e+02,1.029e+02,2.475e+02
3.0,1.489e+01,2.433e+01,4.297e+01,8.219e+01
4.5,1.538e+01,2.916e+02,4.619e+01,3.532e+02
6.1,1.771e+01,1.119e+03,4.421e+01,1.181e+03
7.6,1.928e+01,1.903e+03,4.238e+01,1.964e+03
9.1,1.676e+01,2.854e+03,4.135e+01,2.912e+03
10.6,1.590e+01,4.287e+03,5.274e+01,4.356e+03
12.1,1.996e+01,5.211e+03,5.531e+01,5.286e+03
13.6,2.151e+01,5.488e+03,4.753e+01,5.557e+03
15.2,1.829e+01,7.398e+03,6.333e+01,7.479e+03
16.7,1.946e+01,9.844e+03,9.044e+01,9.954e+03
18.2,9.695e+01,1.277e+04,1.325e+02,1.300e+04
19.7,1.975e+02,1.575e+04,1.586e+02,1.611e+04
21.2,1.320e+02,2.011e+04,2.806e+02,2.052e+04
22.7,1.103e+02,2.671e+04,6.142e+02,2.743e+04
24.3,1.342e+02,3.616e+04,1.437e+03,3.773e+04
25.8,2.355e+02,4.542e+04,2.859e+03,4.852e+04
27.3,2.747e+02,4.658e+04,4.511e+03,5.137e+04
28.8,1.190e+02,3.283e+04,3.920e+03,3.687e+04
30.3,4.966e+01,3.451e+04,1.948e+03,3.651e+04
31.8,1.534e+02,6.336e+04,1.264e+03,6.478e+04
33.3,3.804e+02,1.223e+05,3.377e+03,1.261e+05
34.9,6.881e+02,2.620e+05,1.424e+04,2.769e+05
36.4,8.657e+02,4.288e+05,3.668e+04,4.663e+05
37.9,1.489e+03,4.371e+05,6.816e+04,5.067e+05
39.4,2.632e+03,3.714e+05,1.101e+05,4.841e+05
40.9,3.164e+03,3.127e+05,1.586e+05,4.745e+05
42.4,2.566e+03,2.443e+05,1.993e+05,4.462e+05
44.0,2.628e+03,1.735e+05,2.286e+05,4.047e+05
45.5,2.604e+03,1.138e+05,2.501e+05,3.666e+05
47.0,2.111e+03,6.458e+04,2.569e+05,3.236e+05
48.5,2.255e+03,3.016e+04,2.448e+05,2.772e+05
50.0,3.111e+03,1.421e+04,2.338e+05,2.511e+05
51.5,4.645e+03,7.683e+03,2.309e+05,2.433e+05
53.1,7.967e+03,6.876e+03,2.748e+05,2.897e+05
54.6,1.447e+04,1.268e+04,3.807e+05,4.078e+05
56.1,2.487e+04,2.038e+04,3.999e+05,4.452e+05
57.6,2.720e+04,2.408e+04,2.361e+05,2.874e+05
59.1,1.219e+04,2.493e+04,8.845e+04,1.256e+05
60.6,3.726e+03,2.519e+04,6.025e+04,8.916e+04
62.1,1.878e+03,2.501e+04,4.977e+04,7.666e+04
63.7,1.637e+03,2.373e+04,4.745e+04,7.282e+04
65.2,1.263e+03,2.392e+04,4.810e+04,7.328e+04
66.7,9.244e+02,2.526e+04,4.494e+04,7.112e+04
68.2,5.635e+02,2.579e+04,3.607e+04,6.243e+04
69.7,2.918e+02,2.140e+04,2.562e+04,4.732e+04
71.2,4.606e+02,1.507e+04,2.284e+04,3.838e+04
72.8,7.098e+02,1.227e+04,2.289e+04,3.587e+04
74.3,9.818e+02,1.237e+04,2.143e+04,3.478e+04
75.8,1.397e+03,1.422e+04,1.971e+04,3.533e+04
77.3,1.584e+03,1.723e+04,1.674e+04,3.555e+04
78.8,1.402e+03,2.066e+04,1.301e+04,3.507e+04
80.3,1.044e+03,2.357e+04,9.560e+03,3.417e+04
81.8,6.451e+02,2.524e+04,6.752e+03,3.264e+04
83.4,3.684e+02,2.552e+04,5.055e+03,3.095e+04
84.9,2.386e+02,2.476e+04,4.544e+03,2.954e+04
86.4,2.342e+02,2.339e+04,5.307e+03,2.893e+04
87.9,2.743e+02,2.108e+04,7.423e+03,2.878e+04
89.4,2.473e+02,1.867e+04,9.931e+03,2.885e+04
90.9,2.257e+02,1.640e+04,1.391e+04,3.054e+04
92.5,2.622e+02,1.356e+04,2.003e+04,3.386e+04
94.0,2.969e+02,1.097e+04,2.894e+04,4.020e+04
95.5,3.532e+02,9.058e+03,3.738e+04,4.679e+04
97.0,2.441e+02,7.845e+03,3.558e+04,4.367e+04
98.5,1.645e+02,6.873e+03,2.959e+04,3.663e+04
100.0,2.066e+02,5.912e+03,2.448e+04,3.060e+04
101.6,3.217e+02,4.996e+03,2.125e+04,2.657e+04
103.1,4.991e+02,4.179e+03,1.858e+04,2.326e+04
104.6,5.786e+02,3.825e+03,1.706e+04,2.146e+04
106.1,4.841e+02,4.131e+03,1.586e+04,2.048e+04
107.6,2.932e+02,4.753e+03,1.526e+04,2.030e+04
109.1,1.673e+02,4.719e+03,1.148e+04,1.636e+04
110.6,1.534e+02,4.074e+03,1.064e+04,1.487e+04
112.2,1.898e+02,3.544e+03,1.016e+04,1.390e+04
113.7,2.578e+02,3.219e+03,9.345e+03,1.282e+04
115.2,3.867e+02,2.852e+03,8.528e+03,1.177e+04
116.7,5.481e+02,2.424e+03,7.483e+03,1.045e+04
118.2,1.084e+03,2.307e+03,6.401e+03,9.792e+03
