freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.199e+02,3.065e+01,1.940e+01,2.700e+02
1.5,1.403e+02,5.005e+01,5.084e+01,2.412e+02
3.0,2.907e+01,3.864e+01,5.401e+01,1.217e+02
4.5,3.199e+02,4.125e+01,6.075e+01,4.218e+02
6.1,1.268e+03,3.967e+01,5.417e+01,1.362e+03
7.6,2.212e+03,3.770e+01,5.318e+01,2.303e+03
9.1,3.256e+03,3.622e+01,5.952e+01,3.352e+03
10.6,4.507e+03,4.002e+01,5.553e+01,4.602e+03
12.1,6.257e+03,3.978e+01,5.848e+01,6.355e+03
13.6,8.631e+03,4.274e+01,6.034e+01,8.734e+03
15.2,1.237e+04,4.095e+01,6.245e+01,1.247e+04
16.7,1.646e+04,4.252e+01,7.107e+01,1.657e+04
18.2,1.267e+04,4.115e+01,1.000e+02,1.282e+04
19.7,1.013e+04,3.999e+01,1.551e+02,1.033e+04
21.2,1.303e+04,4.194e+01,2.316e+02,1.330e+04
22.7,1.681e+04,4.872e+01,2.193e+02,1.707e+04
24.2,2.049e+04,5.075e+01,1.821e+02,2.072e+04
25.8,2.507e+04,5.291e+01,1.880e+02,2.532e+04
27.3,3.029e+04,1.015e+02,2.512e+02,3.064e+04
28.8,3.398e+04,2.864e+02,3.165e+02,3.458e+04
30.3,4.103e+04,4.954e+02,3.377e+02,4.187e+04
31.8,5.007e+04,4.240e+02,4.162e+02,5.091e+04
33.3,5.509e+04,1.976e+02,7.489e+02,5.603e+04
34.9,6.177e+04,5.558e+02,1.791e+03,6.412e+04
36.4,7.413e+04,2.126e+03,2.534e+03,7.879e+04
37.9,9.953e+04,4.488e+03,1.817e+03,1.058e+05
39.4,1.379e+05,8.356e+03,4.877e+03,1.511e+05
40.9,1.347e+05,7.818e+03,8.471e+03,1.510e+05
42.4,1.220e+05,5.079e+03,6.976e+03,1.340e+05
44.0,1.597e+05,6.159e+03,7.282e+03,1.731e+05
45.5,2.884e+05,1.714e+04,8.164e+03,3.137e+05
47.0,4.121e+05,3.522e+04,9.076e+03,4.564e+05
48.5,4.248e+05,4.130e+04,1.045e+04,4.765e+05
50.0,4.039e+05,4.022e+04,1.051e+04,4.546e+05
51.5,3.755e+05,3.766e+04,8.920e+03,4.220e+05
53.0,3.429e+05,3.374e+04,7.212e+03,3.838e+05
54.6,3.183e+05,3.135e+04,5.842e+03,3.555e+05
56.1,2.980e+05,3.008e+04,5.004e+03,3.331e+05
57.6,2.682e+05,2.741e+04,4.621e+03,3.002e+05
59.1,2.312e+05,2.552e+04,4.018e+03,2.608e+05
60.6,1.980e+05,2.498e+04,3.437e+03,2.265e+05
62.1,1.671e+05,2.116e+04,3.165e+03,1.914e+05
63.7,1.397e+05,1.545e+04,3.226e+03,1.583e+05
65.2,1.192e+05,1.141e+04,3.661e+03,1.342e+05
66.7,1.076e+05,1.316e+04,4.468e+03,1.252e+05
68.2,1.068e+05,1.681e+04,5.745e+03,1.294e+05
69.7,9.983e+04,1.532e+04,6.921e+03,1.221e+05
71.2,8.480e+04,1.282e+04,7.703e+03,1.053e+05
72.7,6.885e+04,1.288e+04,7.297e+03,8.902e+04
74.3,5.483e+04,1.234e+04,5.954e+03,7.312e+04
75.8,4.745e+04,1.274e+04,4.623e+03,6.481e+04
77.3,4.404e+04,1.446e+04,4.022e+03,6.252e+04
78.8,4.129e+04,1.658e+04,4.399e+03,6.227e+04
80.3,3.953e+04,1.926e+04,5.137e+03,6.393e+04
81.8,3.754e+04,2.308e+04,4.015e+03,6.463e+04
83.4,3.701e+04,2.711e+04,2.551e+03,6.668e+04
84.9,3.360e+04,2.511e+04,2.142e+03,6.085e+04
86.4,3.006e+04,2.422e+04,2.306e+03,5.659e+04
87.9,2.913e+04,2.895e+04,2.458e+03,6.054e+04
