freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.922e+01,2.440e+02,1.967e+02,5.098e+02
1.5,5.498e+01,1.468e+02,1.598e+02,3.616e+02
3.0,1.612e+01,2.473e+01,6.352e+01,1.044e+02
4.5,1.664e+01,3.392e+02,6.356e+01,4.194e+02
6.1,1.810e+01,1.331e+03,6.824e+01,1.418e+03
7.6,1.749e+01,2.265e+03,6.877e+01,2.351e+03
9.1,1.830e+01,3.492e+03,1.101e+02,3.621e+03
10.6,4.553e+01,5.071e+03,3.655e+02,5.482e+03
12.1,1.154e+02,5.922e+03,5.847e+02,6.622e+03
13.6,1.397e+02,7.257e+03,4.243e+02,7.821e+03
15.1,1.525e+02,9.900e+03,2.952e+02,1.035e+04
16.7,1.652e+02,1.350e+04,2.095e+02,1.388e+04
18.2,1.945e+02,1.843e+04,1.610e+02,1.878e+04
19.7,2.670e+02,2.541e+04,1.495e+02,2.583e+04
21.2,3.587e+02,3.346e+04,2.229e+02,3.404e+04
22.7,7.016e+02,4.765e+04,2.393e+02,4.859e+04
24.2,2.103e+03,7.147e+04,2.907e+02,7.386e+04
25.8,5.493e+03,9.074e+04,5.068e+02,9.674e+04
27.3,8.838e+03,9.172e+04,1.341e+03,1.019e+05
28.8,1.253e+04,9.335e+04,4.159e+03,1.100e+05
30.3,1.683e+04,9.528e+04,1.200e+04,1.241e+05
31.8,2.453e+04,1.048e+05,2.497e+04,1.543e+05
33.3,4.645e+04,1.466e+05,4.958e+04,2.426e+05
34.8,8.004e+04,2.783e+05,1.190e+05,4.773e+05
36.4,8.794e+04,4.341e+05,2.116e+05,7.337e+05
37.9,9.090e+04,3.808e+05,2.380e+05,7.096e+05
39.4,1.034e+05,2.164e+05,2.064e+05,5.262e+05
40.9,1.228e+05,1.182e+05,1.651e+05,4.061e+05
42.4,1.395e+05,1.117e+05,1.373e+05,3.884e+05
43.9,1.581e+05,1.767e+05,1.162e+05,4.509e+05
45.4,1.664e+05,2.566e+05,9.535e+04,5.183e+05
47.0,1.545e+05,2.917e+05,8.497e+04,5.312e+05
48.5,1.202e+05,2.749e+05,8.979e+04,4.849e+05
50.0,7.925e+04,2.135e+05,1.042e+05,3.970e+05
51.5,6.325e+04,1.646e+05,1.431e+05,3.709e+05
53.0,5.246e+04,1.214e+05,2.219e+05,3.957e+05
54.5,4.346e+04,7.545e+04,3.595e+05,4.784e+05
56.1,4.609e+04,3.907e+04,6.180e+05,7.032e+05
57.6,3.744e+04,1.753e+04,7.451e+05,8.001e+05
59.1,2.164e+04,2.421e+04,5.611e+05,6.070e+05
60.6,1.089e+04,3.327e+04,3.258e+05,3.700e+05
62.1,6.366e+03,3.468e+04,2.006e+05,2.417e+05
63.6,4.564e+03,3.692e+04,1.529e+05,1.944e+05
65.1,4.007e+03,3.759e+04,1.098e+05,1.514e+05
